n_faces,face_area,max_conf,id,year
924,2004,0,0.0
364116,2016,1,0.6604
539,1960,2,0.0764
458723,2019,1,0.1991
42968,2005,5,0.1164
531309,2019,1,0.0053
766,1992,2,0.0115
9645,2002,0,0.0
1691,2007,0,0.0
11442,2002,5,0.0681
431075,2019,0,0.0
520023,2022,7,0.0954
573680,2021,1,0.0046
280092,2015,0,0.0
664168,2020,5,0.004
10320,2005,0,0.0
669671,2021,2,0.0356
658558,2020,3,0.058
648990,2020,1,0.0425
119698,2012,3,0.0085
842052,2022,4,0.1229
41439,2010,0,0.0
7340,1976,2,0.0188
8689,1980,0,0.0
587496,2020,4,0.1083
13474,2007,1,0.0217
848058,2022,1,0.0099
9539,2008,2,0.057
11675,1998,5,0.1393
814,1981,2,0.0344
29826,2007,4,0.0288
767504,2021,5,0.0673
504631,2019,1,0.0575
594718,2020,1,0.1202
524216,2020,2,0.0053
128748,1999,0,0.0
9360,1997,3,0.154
791910,2021,1,0.4086
9392,2005,1,0.009
539517,2018,2,0.0215
13788,2009,2,0.0191
133805,2013,1,0.6332
10131,1988,1,0.0404
692969,2020,2,0.4537
9431,1996,0,0.0
10664,2009,0,0.0
516632,2020,0,0.0
270771,2014,0,0.0
7978,2010,0,0.0
199534,2013,1,0.0301
300665,2017,0,0.0
112454,2014,0,0.0
522681,2019,2,0.13
736509,2020,0,0.0
11470,2001,1,0.4715
12699,2005,0,0.0
34480,2009,0,0.0
9348,1995,1,0.0109
10014,1985,3,0.0336
18405,2009,0,0.0
27387,2003,0,0.0
282070,2015,1,0.122
11587,1990,0,0.0
335796,2016,0,0.0
570670,2020,1,0.2484
608195,2020,5,0.0999
9064,1988,0,0.0
282035,2017,1,0.0106
10285,1993,0,0.0
4234,2000,5,0.0924
10225,1986,0,0.0
440021,2017,0,0.0
400136,2017,0,0.0
405882,2016,1,0.0111
9728,1982,3,0.0489
11906,1977,0,0.0
12594,1999,0,0.0
438799,2018,0,0.0
819876,2022,1,0.1707
10823,1984,4,0.0325
575774,2020,0,0.0
9100,1996,4,0.0052
5876,2007,0,0.0
753926,2021,0,0.0
599281,2021,3,0.0466
315011,2016,0,0.0
1992,2007,5,0.0591
347754,2015,2,0.4724
1017246,2022,1,0.1604
171424,2013,1,0.0415
10283,1989,1,0.012
893338,2022,4,0.3155
61012,2012,1,0.0102
999722,2022,0,0.0
419479,2017,1,0.6562
24831,1978,1,0.0017
4283,2007,0,0.0
243688,2015,0,0.0
443791,2020,0,0.0
588,2006,0,0.0
1813,1997,2,0.0175
345911,2016,0,0.0
19288,2003,5,0.0615
321258,2016,1,0.4949
116946,2006,1,0.4683
471506,2018,2,0.2368
621151,2020,1,0.2508
567609,2019,12,0.0405
298250,2017,1,0.0118
8413,1997,2,0.2039
10925,1985,3,0.0409
5434,1973,2,0.2037
670428,2020,3,0.0502
371608,2018,1,0.0351
949423,2022,1,0.1115
667141,2020,1,0.8045
14564,2017,0,0.0
203834,2014,1,0.1234
10676,1982,1,0.1264
3597,1997,4,0.217
765,1987,1,0.2114
242224,2014,0,0.0
517302,2022,1,0.0457
595149,2020,1,0.0816
73861,2010,0,0.0
726208,2020,1,0.0247
218454,2013,1,0.1071
643550,2020,1,0.2178
25018,1990,0,0.0
551804,2020,1,0.339
11586,1977,1,0.0884
82654,2013,2,0.023
342588,2015,2,0.0169
16337,1986,4,0.0388
508642,2018,2,0.0012
631947,2022,0,0.0
157433,2019,2,0.0416
21484,1981,0,0.0
604360,2021,1,0.0241
38321,2011,3,0.0137
599975,2019,1,0.2067
710871,2021,2,0.3152
4552,2003,4,0.0149
395992,2017,3,0.1142
10007,2006,1,0.2431
3980,1986,0,0.0
71670,2011,1,0.0171
791570,2021,0,0.0
44214,2010,1,0.0148
56832,2010,1,0.0129
86328,2011,1,0.1364
758510,2020,3,0.0952
63311,2011,2,0.7588
93856,2012,0,0.0
384698,2015,0,0.0
11298,1981,0,0.0
339530,2015,1,0.0028
41436,2010,0,0.0
928,1990,0,0.0
492611,2020,1,0.2435
756278,2020,0,0.0
883083,2022,1,0.1864
1255,2006,0,0.0
586097,2019,2,0.0257
201085,2015,0,0.0
384798,2016,0,0.0
796428,2021,1,0.1811
134366,2012,0,0.0
74135,2011,2,0.0364
439015,2018,0,0.0
228973,2014,0,0.0
2662,2003,0,0.0
10489,1983,1,0.002
11569,1992,0,0.0
10281,1988,3,0.0341
11596,1994,0,0.0
16281,1982,1,0.0257
571,1963,0,0.0
332567,2016,1,0.0053
9731,1985,0,0.0
927,1984,0,0.0
583132,2019,1,0.0804
501170,2019,2,0.0016
373226,2019,0,0.0
467615,2017,0,0.0
17455,2005,2,0.037
716258,2020,2,0.248
4970,2003,1,0.1181
718022,2020,1,0.2454
515454,2020,1,0.288
16780,1995,3,0.2024
283445,2015,0,0.0
675490,2020,1,0.1077
20441,2009,0,0.0
434555,2018,1,0.1325
733491,2020,0,0.0
512196,2019,1,0.2583
208763,2014,0,0.0
16296,1988,0,0.0
85140,1986,2,0.1126
246355,2003,0,0.0
17111,2004,2,0.1313
520901,2019,0,0.0
16304,2006,0,0.0
376570,2016,1,0.2204
593655,2020,0,0.0
63197,2011,2,0.0155
31967,2010,1,0.0114
715123,2020,1,0.0413
433128,2017,1,0.0258
175168,2012,4,0.0306
748224,2020,0,0.0
514593,2020,2,0.1687
84226,2011,5,0.0094
9871,2000,2,0.0949
375366,2016,5,0.2242
320846,2020,0,0.0
555974,2020,0,0.0
476299,2018,1,1.0689
741998,2020,0,0.0
157544,2015,1,0.0035
4513,2007,2,0.045
28260,1993,1,0.0391
471498,2021,1,0.4249
60935,2011,0,0.0
485415,2017,0,0.0
403119,2017,0,0.0
181656,2012,1,0.044
298312,2015,0,0.0
794,1976,2,0.0524
2671,1998,0,0.0
10665,2008,3,0.0369
222461,2013,1,0.0167
714338,2020,0,0.0
12597,2000,1,0.057
1933,2001,1,0.1646
3021,2007,2,0.4182
44040,2010,0,0.0
157547,2013,1,0.4061
21407,2009,0,0.0
48171,2011,1,0.6037
288158,2014,1,0.0063
547565,2021,1,0.0079
1017335,2022,1,0.0159
26466,2009,0,0.0
25239,1978,0,0.0
94365,2015,0,0.0
71668,2012,0,0.0
11246,2002,0,0.0
58431,2016,2,0.0036
855433,2022,4,0.0989
527261,2019,2,0.0721
460885,2018,5,0.0164
28602,2007,1,0.2701
1029132,2022,2,0.1011
11026,2004,0,0.0
755,1996,2,0.1825
728791,2020,1,0.2983
678489,2020,0,0.0
9885,2005,1,0.8618
