id,year,title,rek_labels,rek_top,rek_top_conf,rek_weapon,rek_animal,rek_person,rek_water,rek_fire,rek_silhouette,rek_n_boxes,rek_bright,rek_sharp,rek_contrast,rek_colors,rek_mod,rek_violence,rek_mod_weapons,rek_gore,rek_n_faces,rek_emotion,rek_gender,rek_age_lo,rek_age_hi
1946,1999,eXistenZ,Firearm:1.00|Gun:1.00|Handgun:1.00|Weapon:1.00|Advertisement:1.00|Poster:0.96|Face:0.96|Head:0.96|Person:0.96|Photography:0.96,Firearm,0.9998,0.9998,0.0,0.9624,0.0,0.0,0.0,1,75.09,77.09,89.9,#8b4513:22.2|#ffebcd:19.5|#800000:15.8|#cd853f:9.8|#000000:7.9,Weapon Violence:0.98|Graphic Violence:0.98|Violence:0.98,0.9793,0.0,0.0,2,ANGRY:0.95,Male,28,36
1024535,2022,Matriarch,Head:1.00|Person:1.00|Face:1.00|Photography:1.00|Portrait:1.00|Adult:0.94|Female:0.94|Woman:0.94|Tattoo:0.87|Book:0.78,Head,1.0,0.0,0.559,1.0,0.0,0.0,0.0,5,29.42,18.23,67.03,#000000:66.5|#556b2f:13.2|#a0522d:10.9|#2f4f4f:9.4,,0.0,0.0,0.0,2,SAD:0.91,Female,30,38
282035,2017,The Mummy,Advertisement:1.00|Poster:1.00|Book:1.00|Publication:1.00|Adult:0.93|Male:0.93|Man:0.93|Person:0.93|Tattoo:0.90|Novel:0.57,Advertisement,0.9951,0.5629,0.5308,0.9347,0.0,0.0,0.0,7,51.92,65.38,83.96,#000000:42.9|#2f4f4f:15.9|#808080:15.3|#696969:13.4|#cd853f:5.4,,0.0,0.0,0.0,1,ANGRY:0.56,Male,35,43
84348,2012,V/H/S,Computer Hardware:1.00|Electronics:1.00|Hardware:1.00|Monitor:0.99|Screen:0.99|Text:0.78|Blackboard:0.65|Gate:0.60|Computer:0.58|Advertisement:0.57,Computer Hardware,0.9999,0.0,0.0,0.0,0.0,0.0,0.0,2,24.99,94.7,79.7,#000000:68.0|#808080:13.7|#2f4f4f:11.5|#800000:5.1|#c0c0c0:0.9,,0.0,0.0,0.0,0,,,-1,-1
570670,2020,The Invisible Man,Face:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Adult:0.98|Female:0.98|Woman:0.98|Book:0.97|Publication:0.97,Face,1.0,0.0,0.8542,1.0,0.0,0.0,0.0,5,52.17,76.98,79.82,#2f4f4f:40.4|#808080:18.2|#696969:17.9|#000000:17.4|#a9a9a9:5.2,,0.0,0.0,0.0,1,CONFUSED:0.45,Female,28,36
11133,1986,Poltergeist II: The Other Side,Adult:0.89|Female:0.89|Person:0.89|Woman:0.89|Photography:0.88|Portrait:0.68|Smoke Pipe:0.60|Advertisement:0.58|Bag:0.57|Handbag:0.57,Adult,0.8946,0.0,0.0,0.8946,0.0,0.0,0.0,5,0.0,79.78,84.64,#000000:82.6|#a9a9a9:5.9|#808080:3.9|#2f4f4f:3.7|#696969:2.2,,0.0,0.0,0.0,1,SAD:0.63,Female,4,8
335796,2016,Ouija: Origin of Evil,Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Advertisement:0.97|Dancing:0.96|Poster:0.72|Fitness:0.57|Working Out:0.57|Yoga:0.57,Adult,0.988,0.0,0.0,0.988,0.0,0.0,0.0,4,47.61,80.83,83.56,#2f4f4f:48.1|#000000:22.5|#696969:8.6|#808080:6.8|#a9a9a9:5.8,,0.0,0.0,0.0,0,,,-1,-1
608195,2020,Ghosts of War,Book:1.00|Publication:1.00|Helmet:1.00|Advertisement:1.00|Glasses:0.99|Adult:0.99|Male:0.99|Man:0.99|Person:0.99|Female:0.99,Book,0.9996,0.0,0.0,0.9931,0.0,0.0,0.0,36,18.67,83.12,83.25,#000000:65.4|#2f4f4f:19.0|#696969:8.0|#c0c0c0:4.3|#808080:3.3,,0.0,0.0,0.0,5,CALM:0.91,Male,20,26
412546,2018,Antrum,Book:1.00|Publication:1.00|Baby:0.98|Person:0.98|Advertisement:0.97|Poster:0.97|Comics:0.79|Novel:0.63|Pirate:0.56|Samurai:0.54,Book,1.0,0.0,0.5027,0.9752,0.0,0.0,0.0,5,43.83,71.11,80.2,#000000:45.9|#a0522d:21.5|#800000:12.9|#cd853f:7.1|#2f4f4f:6.4,,0.0,0.0,0.0,2,FEAR:0.57,Female,20,26
11587,1990,The Exorcist III,House:1.00|Housing:1.00|Staircase:1.00|Book:1.00|Publication:1.00|City:1.00|Road:0.99|Street:0.99|Urban:0.99|Novel:0.99,House,1.0,0.0,0.0,0.9055,0.0,0.0,0.571,1,0.0,78.83,77.81,#000000:86.4|#2f4f4f:7.8|#696969:3.1|#c0c0c0:1.5|#bdb76b:0.7,,0.0,0.0,0.0,0,,,-1,-1
134597,2012,The Collection,Adult:0.97|Male:0.97|Man:0.97|Person:0.97|Advertisement:0.93|Poster:0.93|Glove:0.89|Electronics:0.70|Hardware:0.70|Hood:0.61,Adult,0.9725,0.5518,0.5666,0.9725,0.0,0.0,0.0,5,33.31,79.05,87.02,#000000:56.3|#5f9ea0:14.0|#696969:12.8|#2f4f4f:10.4|#dcdcdc:3.6,,0.0,0.0,0.0,0,,,-1,-1
10285,1993,Jason Goes to Hell: The Final Friday,Bonfire:0.97|Fire:0.97|Flame:0.97|Advertisement:0.93|Poster:0.93|Sword:0.87|Weapon:0.87|Book:0.66|Publication:0.66|Samurai:0.57,Bonfire,0.9693,0.873,0.0,0.0,0.0,0.9693,0.0,1,22.91,89.27,91.09,#000000:54.3|#d2691e:13.8|#dcdcdc:8.3|#f4a460:6.4|#2f4f4f:5.9,,0.0,0.0,0.0,0,,,-1,-1
126172,2014,Leprechaun: Origins,Book:0.99|Publication:0.99|Animal:0.94|Sea Life:0.94|Seashell:0.94|Lighting:0.78|Accessories:0.73|Outdoors:0.63|Treasure:0.58|Advertisement:0.57,Book,0.9885,0.0,0.9416,0.0,0.0,0.0,0.0,0,0.61,78.17,84.63,#000000:73.4|#800000:9.4|#a0522d:7.4|#daa520:5.0|#f0e68c:2.7,,0.0,0.0,0.0,0,,,-1,-1
9064,1988,Hellbound: Hellraiser II,Advertisement:1.00|Poster:1.00|Person:0.85|Face:0.83|Head:0.83|Art:0.56|Collage:0.56|Alien:0.54|Book:0.54|Batman:0.54,Advertisement,0.9981,0.0,0.522,0.853,0.0,0.0,0.0,1,40.8,77.94,81.83,#2f4f4f:40.6|#000000:31.6|#191970:9.6|#c0c0c0:6.9|#483d8b:4.0,,0.0,0.0,0.0,1,CALM:0.96,Male,54,60
529149,2019,Darlin',Book:1.00|Publication:1.00|Head:1.00|Person:1.00|Photography:1.00|Portrait:1.00|Adult:0.99|Female:0.99|Woman:0.99|Advertisement:0.86,Book,1.0,0.0,0.614,0.9997,0.0,0.0,0.0,4,40.48,77.21,79.19,#000000:47.0|#2f4f4f:35.5|#808080:7.8|#800000:4.5|#a9a9a9:3.2,,0.0,0.0,0.0,2,ANGRY:0.99,Female,33,41
384521,2018,The Cloverfield Paradox,Nature:1.00|Night:1.00|Outdoors:1.00|Astronomy:0.81|Outer Space:0.81|Starry Sky:0.73|Blackboard:0.63|Nebula:0.57|Flare:0.57|Light:0.57,Nature,0.9996,0.0,0.0,0.0,0.5444,0.0,0.0,1,16.79,78.86,81.82,#000000:81.6|#2f4f4f:11.0|#dcdcdc:4.7|#696969:2.0|#808080:0.7,,0.0,0.0,0.0,0,,,-1,-1
34480,2009,The Descent: Part 2,Book:1.00|Publication:1.00|Advertisement:0.99|Face:0.98|Person:0.98|Photography:0.98|Portrait:0.98|Poster:0.98|Adult:0.95|Bride:0.95,Book,0.9999,0.0,0.0,0.9814,0.0,0.0,0.0,5,17.14,76.05,76.11,#000000:72.2|#800000:23.0|#a9a9a9:2.9|#a0522d:1.2|#dcdcdc:0.7,Blood & Gore:0.81|Graphic Violence:0.81|Violence:0.81,0.8134,0.0,0.8134,0,,,-1,-1
1547,1987,The Lost Boys,Tree:1.00|Arch:0.99|Adult:0.96|Male:0.96|Man:0.96|Person:0.96|Female:0.94|Woman:0.94|People:0.92|Nature:0.92,Tree,0.9972,0.0,0.0,0.9578,0.0,0.0,0.5782,14,44.78,79.83,96.02,#000000:45.2|#87ceeb:26.0|#2f4f4f:15.6|#ffffff:8.9|#8b4513:4.0,,0.0,0.0,0.0,0,,,-1,-1
9348,1995,Species,Lighting:0.99|Adult:0.98|Female:0.98|Person:0.98|Woman:0.98|Book:0.96|Publication:0.96|Light:0.89|Portrait:0.57|Advertisement:0.57,Lighting,0.9947,0.5299,0.0,0.9763,0.0,0.0,0.0,4,7.96,73.85,89.06,#000000:74.9|#2f4f4f:9.2|#afeeee:8.4|#696969:3.5|#808080:2.2,,0.0,0.0,0.0,1,CALM:0.97,Female,24,30
161326,2008,Dangerous Worry Dolls,Book:1.00|Publication:1.00|Adult:0.90|Male:0.90|Man:0.90|Person:0.90|Advertisement:0.89|Poster:0.83|Dynamite:0.62|Hand:0.57,Book,0.9993,0.0,0.5677,0.8972,0.0,0.0,0.0,5,23.73,84.4,84.79,#000000:57.5|#b22222:19.0|#696969:9.3|#800000:7.9|#deb887:6.2,,0.0,0.0,0.0,1,FEAR:0.63,Male,31,39
18405,2009,The Last House on the Left,Book:1.00|Publication:1.00|Novel:1.00|Person:0.98|Animal:0.69|Sea Life:0.69|Fish:0.61|Nature:0.61|Outdoors:0.61|Advertisement:0.56,Book,1.0,0.0,0.6868,0.9768,0.5108,0.0,0.5032,5,35.92,79.79,89.39,#000000:52.2|#2f4f4f:26.5|#b0c4de:10.7|#87ceeb:9.1|#a52a2a:0.8,,0.0,0.0,0.0,0,,,-1,-1
34081,2002,Ted Bundy,Book:1.00|Publication:1.00|Novel:0.99|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Face:0.97|Head:0.97|Photography:0.97,Book,1.0,0.0,0.0,0.9751,0.0,0.0,0.5059,4,3.93,79.69,86.04,#000000:61.6|#191970:18.7|#b22222:7.3|#dcdcdc:4.7|#d2691e:4.3,,0.0,0.0,0.0,1,CALM:0.54,Male,30,38
10014,1985,A Nightmare on Elm Street Part 2: Freddy's Revenge,Advertisement:1.00|Poster:0.99|Book:0.99|Publication:0.99|Adult:0.95|Bride:0.95|Female:0.95|Person:0.95|Woman:0.95|Bird:0.90,Advertisement,0.9987,0.0,0.9035,0.9488,0.0,0.0,0.0,26,43.54,79.77,87.87,#000000:40.3|#2f4f4f:17.7|#800000:15.0|#c0c0c0:8.6|#8b4513:5.8,,0.0,0.0,0.0,2,CALM:0.97,Female,24,30
287424,2015,Maggie,Photography:1.00|Person:1.00|Portrait:1.00|Book:1.00|Publication:1.00|Coat:0.99|Adult:0.99|Male:0.99|Man:0.99|Advertisement:0.98,Photography,0.9998,0.9347,0.0,0.9991,0.0,0.0,0.0,6,39.73,79.84,83.83,#000000:49.3|#2f4f4f:23.6|#808080:11.4|#696969:7.8|#a9a9a9:5.7,,0.0,0.0,0.0,2,SAD:1.00,Female,15,21
10331,1968,Night of the Living Dead,Advertisement:1.00|Poster:1.00|Adult:0.98|Male:0.98|Man:0.98|Person:0.98|Bride:0.98|Female:0.98|Woman:0.98|Book:0.84,Advertisement,0.9999,0.0,0.0,0.984,0.0,0.0,0.0,28,42.5,96.1,98.71,#000000:48.3|#2f4f4f:13.8|#808080:10.3|#dcdcdc:10.3|#c0c0c0:6.9,Non-Explicit Nudity of Intimate parts and Kissing:0.93|Non-Explicit Nudity:0.93|Bare Back:0.93,0.0,0.0,0.0,4,SAD:1.00,Male,32,40
760195,2021,Separation,Book:1.00|Publication:1.00|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Advertisement:0.95|Poster:0.95|Male:0.91|Man:0.91,Book,0.9993,0.0,0.0,0.9913,0.0,0.0,0.0,8,27.13,76.15,81.11,#000000:68.1|#2f4f4f:14.0|#696969:8.7|#a9a9a9:6.8|#dcdcdc:1.8,,0.0,0.0,0.0,0,,,-1,-1
489064,2019,3 from Hell,Book:1.00|Publication:1.00|Adult:0.99|Female:0.99|Person:0.99|Woman:0.99|Bride:0.99|Advertisement:0.98|Male:0.98|Man:0.98,Book,0.9997,0.0,0.0,0.9869,0.0,0.0,0.0,15,77.91,92.39,92.06,#a0522d:24.8|#000000:23.4|#deb887:20.5|#ffffe0:12.3|#cd853f:10.1,Non-Explicit Nudity of Intimate parts and Kissing:0.94|Non-Explicit Nudity:0.94|Exposed Male Nipple:0.94|Blood & Gore:0.66|Graphic Violence:0.66|Violence:0.66,0.656,0.0,0.656,3,CALM:0.98,Male,56,62
