brightness,dark_share,saturation,red_share,palette,palette_share,id,title,year
39.05,0.1296,0.4042,0.057,"[""#43747e"", ""#2b3d44"", ""#814145"", ""#90875f"", ""#d7cf47""]","[0.388, 0.376, 0.088, 0.08, 0.069]",35911,Cult of the Cobra,1955
60.22,0.2152,0.3521,0.01,"[""#f4cd17"", ""#191918"", ""#e7dfdd"", ""#56573d"", ""#b4834b""]","[0.341, 0.224, 0.17, 0.138, 0.127]",35919,Creature with the Atom Brain,1955
51.05,0.2622,0.4945,0.0256,"[""#f2af4f"", ""#1e1a17"", ""#bd895b"", ""#694d35"", ""#e25b23""]","[0.559, 0.175, 0.116, 0.1, 0.049]",3164,Frankenstein 1970,1958
53.47,0.001,0.2338,0.133,"[""#8886a2"", ""#595556"", ""#e44925"", ""#babbdc"", ""#c17264""]","[0.294, 0.242, 0.206, 0.157, 0.102]",438604,Varan,1958
65.59,0.0802,0.4118,0.0775,"[""#b8bb67"", ""#a45b48"", ""#362f24"", ""#e3a22d"", ""#f1e3da""]","[0.472, 0.171, 0.165, 0.107, 0.085]",85611,The Stranglers of Bombay,1959
74.69,0.0803,0.365,0.0848,"[""#f5e045"", ""#e9e9e8"", ""#cd6246"", ""#27283e"", ""#a9906e""]","[0.389, 0.205, 0.146, 0.145, 0.115]",774463,Desalmados en pena,1954
47.52,0.3112,0.532,0.1508,"[""#221811"", ""#d7c59d"", ""#d23527"", ""#3d55de"", ""#cac840""]","[0.428, 0.247, 0.162, 0.083, 0.08]",413973,El Zorro escarlata en la venganza del ahorcado,1958
54.54,0.14,0.4304,0.029,"[""#bacb9f"", ""#455634"", ""#372a2e"", ""#67891e"", ""#ce7443""]","[0.295, 0.273, 0.219, 0.157, 0.056]",40954,Beast from Haunted Cave,1959
40.78,0.3116,0.3836,0.134,"[""#392e27"", ""#dc8354"", ""#d93128"", ""#7c4a33"", ""#decfb2""]","[0.43, 0.164, 0.152, 0.14, 0.113]",425378,Return to Youth,1954
67.94,0.0117,0.1738,0.1621,"[""#cbc7cc"", ""#f61412"", ""#817e81"", ""#a41d14"", ""#58251d""]","[0.384, 0.288, 0.155, 0.099, 0.074]",826135,Hantu Rimau,1959
30.04,0.4563,0.3951,0.051,"[""#161214"", ""#60788d"", ""#e8c412"", ""#64412e"", ""#97883e""]","[0.389, 0.222, 0.15, 0.131, 0.108]",85241,The Headless Ghost,1959
26.25,0.5273,0.228,0.0,"[""#0a0d0a"", ""#3b4537"", ""#5dc523"", ""#477c27"", ""#a0a1a0""]","[0.52, 0.199, 0.116, 0.084, 0.082]",22718,Attack of the Giant Leeches,1959
58.57,0.2032,0.4041,0.1585,"[""#221e41"", ""#ded7d5"", ""#de3933"", ""#eed562"", ""#903e43""]","[0.353, 0.189, 0.18, 0.142, 0.136]",370528,The Head of Pancho Villa,1957
38.29,0.3698,0.63,0.1965,"[""#181014"", ""#c93739"", ""#144eae"", ""#b9cab7"", ""#f1ce4d""]","[0.472, 0.211, 0.126, 0.109, 0.082]",29071,The Undead,1957
42.28,0.0731,0.3301,0.011,"[""#313c3c"", ""#5a482e"", ""#6f797d"", ""#ba9f64"", ""#eccb24""]","[0.371, 0.198, 0.173, 0.156, 0.102]",18990,The Mummy,1959
31.53,0.3971,0.436,0.048,"[""#1b1110"", ""#c62856"", ""#691c31"", ""#584849"", ""#c5afb2""]","[0.362, 0.294, 0.147, 0.118, 0.079]",456641,Mysterious Pygmy,1955
49.2,0.1832,0.3768,0.0919,"[""#392e2c"", ""#9f8b75"", ""#dba75c"", ""#ad523d"", ""#f2e139""]","[0.308, 0.218, 0.201, 0.141, 0.133]",329732,The Blood Sword of the 99th Virgin,1959
