id,label,score,title,year,is_animal,is_creature
267913,vampire,0.59,Vampire Assassin,2005,False,True
113625,zombie,0.906,Dorm of the Dead,2012,False,True
84375,ghost,0.593,Frozen Scream,1975,False,True
395926,uncertain,0.433,Unholy,2015,False,False
455946,uncertain,0.177,The Lucifer Effect,2017,False,False
473647,uncertain,0.414,Sandkings,1995,False,False
926153,vampire,0.708,VampFather,2022,False,True
563025,uncertain,0.419,The Lurking Man,2018,False,False
31699,masked_killer,0.787,The Jackhammer Massacre,2004,False,True
104772,uncertain,0.378,Dangerous Seductress,1995,False,False
85136,uncertain,0.419,Dreamaniac,1986,False,False
931375,uncertain,0.426,CHEST,2022,False,False
78252,witch,0.656,Warlock Moon,1973,False,True
293852,uncertain,0.333,Nazi Dawn,2014,False,False
421405,uncertain,0.434,Dead Billy,2016,False,False
459220,uncertain,0.39,Shockwave,2016,False,False
888478,uncertain,0.253,Famously Haunted: Amityville,2021,False,False
270837,uncertain,0.375,Lizard Man,2012,False,False
695564,skeleton,0.529,The Jonestown Haunting,2020,False,True
983490,uncertain,0.401,A Stranger Calls from Beyond the Crimson Room,2022,False,False
106621,uncertain,0.283,The Abomination,1986,False,False
48516,doll,0.85,Child of Mine,2005,False,True
27844,uncertain,0.373,Drainiac!,2000,False,False
327369,uncertain,0.24,Pig Pen,2017,False,False
98360,uncertain,0.252,Cleavagefield,2009,False,False
885683,uncertain,0.24,White Sky,2021,False,False
637084,demon,0.725,Dementer,2019,False,True
394116,zombie,0.579,Hole,2015,False,True
84635,vampire,0.907,Vampire Cop,1990,False,True
513947,uncertain,0.384,Marla Mae,2018,False,False
465177,zombie,0.934,Meltdown,2014,False,True
711471,uncertain,0.445,Walk Away,2020,False,False
303678,witch,0.887,The Witches of Sappho Salon,2003,False,True
113957,uncertain,0.239,Lovers Lane,1999,False,False
28035,doll,0.77,Lurkers,1988,False,True
158962,uncertain,0.223,The Caretaker,2012,False,False
179496,uncertain,0.416,Death Nurse 2,1988,False,False
145645,uncertain,0.223,Cannibal Collector,2010,False,False
445782,witch,0.864,Vampires of Sorority Row,1999,False,True
366360,uncertain,0.34,Hellbent,1988,False,False
28382,witch,0.683,The Devil's Bloody Playthings,2005,False,True
495015,uncertain,0.423,Post Human: An Event,2017,False,False
90986,skeleton,0.597,True Gore,1987,False,True
56144,uncertain,0.192,Razorteeth,2005,False,False
138944,vampire,0.742,Blood for Irina,2012,False,True
383150,uncertain,0.222,Lung,2016,False,False
429730,uncertain,0.2,The Marshes,2018,False,False
277506,uncertain,0.212,Invicta,2009,False,False
97183,uncertain,0.34,Blood Junkie,2010,False,False
274339,uncertain,0.479,Revelation Trail,2014,False,False
550015,uncertain,0.366,Hell of a Night,2019,False,False
73460,uncertain,0.307,Earth Day,2009,False,False
235733,vampire,0.842,Eulogy for a Vampire,2009,False,True
248661,uncertain,0.352,Vampire Knights,1988,False,False
717319,uncertain,0.403,Mermaid Isle,2020,False,False
962486,uncertain,0.175,Desert Shadows,2022,False,False
3042,uncertain,0.172,Frankenstein,1993,False,False
27774,uncertain,0.487,Splatter Beach,2007,False,False
351187,uncertain,0.31,Knifepoint,2011,False,False
83283,uncertain,0.296,Iced,1988,False,False
357903,ghost,0.597,Paranormal Parody,2011,False,True
108836,uncertain,0.329,Hellbride,2007,False,False
813743,uncertain,0.241,The Occupant,2020,False,False
733852,ghost,0.583,Spiral Drive,2020,False,True
1008886,skeleton,0.867,Trick or Treat!,2021,False,True
534282,doll,0.561,Head,2015,False,True
140781,ghost,0.599,Daylight,2011,False,True
154303,zombie,0.81,The Eschatrilogy: Book of the Dead,2012,False,True
718892,uncertain,0.231,The Goocher,2020,False,False
135321,uncertain,0.419,Porkchop II: Rise of the Rind,2011,False,False
89410,clown,0.609,The Fun Park,2007,False,True
758241,uncertain,0.196,Wreck,2020,False,False
54101,uncertain,0.232,Born of Earth,2011,False,False
640173,werewolf,0.662,15 Things You Didn't Know About Bigfoot,2019,False,True
457049,uncertain,0.421,Crone Wood,2016,False,False
773409,uncertain,0.405,Noise in the Middle,2022,False,False
737586,uncertain,0.267,The Trees Have Eyes,2020,False,False
367284,uncertain,0.217,Sicilian Vampire,2015,False,False
848186,uncertain,0.251,Maggie Shayne's Embrace the Twilight,2019,False,False
642081,uncertain,0.349,The Burningmoore Incident,2010,False,False
216031,uncertain,0.432,Ghost Child,2013,False,False
56026,zombie,0.89,The Rising Dead,2007,False,True
872737,uncertain,0.426,Hunter's Cabin,2021,False,False
365024,demon,0.758,Holy Hell,2015,False,True
461369,uncertain,0.426,Fortune Cookie,2016,False,False
294753,uncertain,0.357,Sleepless Nights,2002,False,False
348494,masked_killer,0.522,What Really Frightens You?,2009,False,True
28530,witch,0.55,Sorceress II: The Temptress,1997,False,True
312859,zombie,0.556,Bachelors Grove,2014,False,True
364493,uncertain,0.235,Vicious,2015,False,False
67320,uncertain,0.467,Stanley,1972,False,False
452405,uncertain,0.39,Dogged,2017,False,False
55018,uncertain,0.459,Crazy As Hell,2002,False,False
415222,zombie,0.547,Dreaming Purple Neon,2016,False,True
745327,uncertain,0.454,Real Fear: The Truth Behind the Movies,2012,False,False
823191,uncertain,0.425,The Hike,2021,False,False
230559,uncertain,0.334,Shhh...,2011,False,False
754218,uncertain,0.354,C.A.M.,2021,False,False
73197,skeleton,0.655,The Anniversary at Shallow Creek,2011,False,True
496985,uncertain,0.361,Psychophonia,2016,False,False
593510,uncertain,0.47,Everfall,2017,False,False
719280,uncertain,0.327,Fanga,2022,False,False
751436,uncertain,0.471,Survival Guide,2020,False,False
118227,uncertain,0.294,The Alien Within,1995,False,False
95559,uncertain,0.295,The Last Step Down,1970,False,False
434591,uncertain,0.278,The Domicile,2017,False,False
161324,uncertain,0.441,Hex,1973,False,False
81465,skeleton,0.568,Tales from the Quadead Zone,1987,False,True
689040,uncertain,0.419,Shadowed,2020,False,False
328928,bird,0.633,A Rose for Emily,1983,True,True
27566,uncertain,0.461,Don't Go Near the Park,1981,False,False
621254,uncertain,0.38,Dead Don't Die in Dallas,2019,False,False
979064,uncertain,0.203,The Visitor,2022,False,False
276877,uncertain,0.392,Orgy of the Damned,2010,False,False
195022,uncertain,0.353,Kill Me Now,2012,False,False
932276,masked_killer,0.919,Dead Side Manor: Prescription for Fear,2022,False,True
69935,uncertain,0.436,Dark Walker,2003,False,False
582302,masked_killer,0.527,Pull,2019,False,True
849043,doll,0.513,Blood Born,2021,False,True
184804,uncertain,0.496,A Taste of Evil,1971,False,False
103607,werewolf,0.881,Lone Wolf,1988,False,True
29961,vampire,0.713,Death by Dialogue,1988,False,True
84955,uncertain,0.445,They're Watching Us,2002,False,False
137540,uncertain,0.391,The Stepford Husbands,1996,False,False
66051,zombie,0.668,Jangan Pandang Belakang Congkak,2009,False,True
85187,uncertain,0.311,A Day of Judgment,1981,False,False
75038,uncertain,0.187,Holla,2006,False,False
124046,uncertain,0.431,B.O.R.N.,1989,False,False
440955,uncertain,0.263,The Home,2017,False,False
554220,uncertain,0.393,Satanic Meat Cleaver Massacre,2017,False,False
729316,uncertain,0.393,Nicole,2019,False,False
799982,uncertain,0.242,Lair,2021,False,False
483774,uncertain,0.365,Don't Look Away,2017,False,False
996384,uncertain,0.45,Rings,2022,False,False
99241,uncertain,0.411,In the Closet,2008,False,False
100439,snake,0.614,"Shake, Rattle & Roll 13",2011,True,True
533212,uncertain,0.294,The Bleeding Game,2018,False,False
697953,uncertain,0.387,The Source of Shadows,2020,False,False
