id,original_title,title,original_language,overview,tagline,release_date,poster_path,popularity,vote_count,vote_average,budget,revenue,runtime,status,adult,backdrop_path,genre_names,collection,collection_name
3015,Der Januskopf,The Head of Janus,de,"The film was an unauthorized adaptation of Robert Louis Stevenson's novel The Strange Case of Dr. Jekyll and Mr. Hyde, but the source material went unrecognized by some of the German media due to changes in the characters' names.  Released in 1920, this is one of Murnau's lost films. While the film itself does not survive, the scripts and related production notes do. Because the film is lost, its full length is unknown.  Dr. Warren is the Dr. Jekyll character who changes into Mr. O'Connor, a parallel of Mr. Hyde. This transformation is brought about, not by experimentation with chemicals as in Stevenson's original, but through the supernatural agency of a bust of Janus (the Roman god of duality), which Warren purchases in the opening sequence as a gift for his sweetheart, Jane. When she refuses the gift, horrified, Warren is forced to keep the statuette himself.",,1920-08-26,/QomFFEz7FN5plcSmEhAGT2OdGL.jpg,2.806,0,0.0,0,0,0,,False,/j47aNKg3pdvJ2jM66RxjLWb4Aty.jpg,,,
3016,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,en,A doctor's research into the roots of evil turns him into a hideous depraved fiend.,,1920-03-18,/u8OL0RbTNzqqB1WmkxroTBXohnv.jpg,6.935,140,6.8,0,0,0,,False,/tQRHrssevbysfmDG9FbA86qesCH.jpg,,,
3017,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,en,"Dr. Henry Jekyll experiments with scientific means of revealing the hidden, dark side of man and releases a murderer from within himself.",,1920-04-01,/5Hw6imY9cCLX6jaoMtstZbHnHhw.jpg,1.189,7,5.7,0,0,0,,False,,,,
3019,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,en,"Dr. Henry Jekyll believes that there are two distinct sides to men - a good and an evil side. He believes that by separating the two, man can become liberated. He succeeds in his experiments with chemicals to accomplish this and transforms into Hyde to commit horrendous crimes. When he discontinues use of the drug, it is already too late.",,1931-12-24,/mZtQORzQWkCSqeeHApH6vJDA1D2.jpg,13.066,283,7.269,0,0,0,,False,/i2Wb6QsKg14tl4p9HgJENfUCqhh.jpg,,,
3022,Dr. Jekyll and Mr. Hyde,Dr. Jekyll and Mr. Hyde,en,"Dr. Jekyll believes good and evil exist in everyone and creates a potion that allows his evil side, Mr. Hyde, to come to the fore. He faces horrible consequences when he lets his dark side run amok.",,1941-08-12,/2GDdW84XSX3BYMJ9tmnFkZOGJyB.jpg,11.064,165,6.4,0,0,0,,False,/AlYEWpTN09IKc2nxj1eHu4zpfsZ.jpg,,,
3031,Island of Lost Souls,Island of Lost Souls,en,"An obsessed scientist conducts profane experiments in evolution, eventually establishing himself as the self-styled demigod to a race of mutated, half-human abominations.",,1932-12-24,/g7K7r1FojQC52YHxfmuXgwYBq5Q.jpg,8.253,234,6.87,0,0,0,,False,/61IefEsvLfIu60mp1WWu144hoHN.jpg,,,
3035,Frankenstein,Frankenstein,en,"Tampering with life and death, Henry Frankenstein pieces together salvaged body parts to bring a human monster to life; the mad scientist's dreams are shattered by his creation's violent rage as the monster awakens to a world in which he is unwelcome.",,1931-11-21,/mu6wHwH0IwCCaEYtpqujuPJYat1.jpg,22.569,1581,7.5,0,0,0,,False,/wFbPbJ9uRDpjY7micBTeolgkOA4.jpg,,,
3073,Bud Abbott and Lou Costello Meet Frankenstein,Bud Abbott and Lou Costello Meet Frankenstein,en,"Baggage handlers Bud and Lou accidentally stumble upon Frankenstein's Monster, Dracula and the Wolf Man.",,1948-06-15,/ectRcq1y6EAmz2i72SCRHI6qUK2.jpg,12.201,307,7.0,0,0,0,,False,/t9lnFVNuYxuKkSlRTDbRwyxQWWh.jpg,,,
3074,The Ghost of Frankenstein,The Ghost of Frankenstein,en,"Frankenstein's unscrupulous colleague, Dr. Bohmer, plans to transplant Ygor's brain so he can rule the world using the monster's body, but the plan goes sour when he turns malevolent and goes on a rampage.",,1942-03-13,/aGKJ2kjNXHCLyWKMx3b8D5kKCag.jpg,11.364,153,5.817,0,0,0,,False,/xLXaoqEejsyJOvzTf0iTMM23NYF.jpg,,,
3076,Frankenstein Meets the Wolf Man,Frankenstein Meets the Wolf Man,en,"Grave robbers open the grave of the wolf man and awaken him. He doesn't like the idea of being immortal and killing people when the moon is full so tries to find Dr. Frankenstein, in the hopes that the doctor can cure him. Dr. Frankenstein has died; however, his monster is found.",,1943-03-05,/eitxewmvmZXY7qoKpiVhdaFmwMz.jpg,10.791,201,6.197,0,0,0,,False,/ykbk7an62qpgHxwEz16XXKNvXRd.jpg,,,
