id,year,symmetry,neg_space,complexity,mass_y,mass_x,text_area,text_y,text_regions,text_x,text_top,text_w,text_h,align_score,thirds_dist,n_blocks,balance,harmony,diagonal_score,pyramid_shift
1014087,2021,0.92,0.34,0.12,0.59,0.47,0.1362,0.5254,203.0,0.0152,0.6975,0.9062,0.275,0.04,0.24,12.0,0.09,0.87,0.3,0.02
1014227,2021,0.86,0.59,0.1,0.38,0.5,0.1569,0.3991,297.0,0.0943,0.0941,0.8144,0.2588,0.04,0.19,11.0,0.09,-1.0,0.29,0.16
1014431,2020,0.87,0.29,0.1,0.48,0.39,0.1587,0.5249,165.0,0.18,0.0015,0.6013,0.27,0.05,0.23,10.0,0.16,0.91,0.15,0.11
1014320,2022,0.88,0.28,0.15,0.42,0.5,0.1867,0.4487,285.0,0.0102,0.0,0.9806,0.0415,0.07,0.24,8.0,0.08,0.91,0.26,0.06
1014648,2008,0.78,0.07,0.16,0.5,0.49,0.2577,0.5307,219.0,0.0093,0.0252,0.9853,0.1817,0.04,0.24,12.0,0.05,0.91,0.34,0.04
1014707,2022,0.73,0.27,0.15,0.64,0.55,0.347,0.536,452.0,0.0,0.7678,1.0,0.2006,0.08,0.24,5.0,0.16,0.94,0.29,0.1
1014531,2022,0.95,0.31,0.04,0.43,0.47,0.0612,0.4237,103.0,0.0971,0.387,0.8019,0.0977,0.07,0.24,8.0,0.07,0.91,0.0,-0.12
1014684,2022,0.85,0.19,0.15,0.59,0.49,0.3024,0.4968,345.0,0.0786,0.7602,0.8448,0.2273,0.06,0.24,9.0,0.13,0.94,0.25,-0.01
1014691,2022,0.82,0.12,0.16,0.45,0.52,0.1096,0.4676,159.0,0.0046,0.7857,0.993,0.2143,0.04,0.24,13.0,0.12,0.87,0.18,0.09
1014689,2021,0.77,0.35,0.1,0.5,0.52,0.1441,0.4998,139.0,0.0138,0.6991,0.9812,0.2919,0.07,0.24,7.0,0.07,0.94,0.19,-0.07
1015482,1988,0.82,0.14,0.24,0.52,0.51,0.5246,0.4938,415.0,0.063,0.7496,0.9137,0.2504,0.16,0.24,4.0,0.09,0.94,0.23,-0.03
1015416,2022,0.95,0.8,0.03,0.42,0.5,0.0768,0.5539,136.0,-1.0,-1.0,-1.0,-1.0,0.11,0.16,5.0,0.09,-1.0,0.27,-0.22
1015793,2021,0.81,0.42,0.1,0.53,0.52,0.1637,0.5409,215.0,0.0021,0.0223,0.4925,0.127,0.08,0.18,5.0,0.06,0.94,0.4,-0.0
1016268,2022,0.77,0.02,0.28,0.48,0.52,0.317,0.482,411.0,0.1028,0.0,0.7865,0.1734,0.04,0.24,13.0,0.02,0.91,0.29,0.02
1016521,2020,0.91,0.14,0.13,0.52,0.5,0.1371,0.5401,174.0,0.2774,0.6244,0.433,0.2495,0.08,0.23,6.0,0.04,0.91,0.09,-0.09
1016385,2022,0.93,0.21,0.14,0.58,0.49,0.0349,0.6142,24.0,-1.0,-1.0,-1.0,-1.0,0.08,0.21,8.0,0.04,0.94,0.37,0.0
1016688,2021,0.85,0.05,0.27,0.56,0.49,0.4137,0.4981,508.0,0.02,0.5708,0.98,0.3227,0.03,0.24,10.0,0.1,0.91,0.44,-0.08
1015721,2009,0.77,0.13,0.19,0.47,0.51,0.356,0.4859,461.0,0.0747,0.8347,0.8504,0.1112,0.05,0.24,8.0,0.05,0.91,0.21,-0.03
1016519,2018,0.8,0.07,0.25,0.47,0.5,0.3969,0.4981,607.0,0.0,0.0531,0.9605,0.3586,0.07,0.24,9.0,0.07,0.91,0.38,0.01
1017184,2018,0.98,0.9,0.02,0.5,0.51,0.0439,0.5435,146.0,0.0708,0.4567,0.8671,0.0819,0.14,0.21,3.0,0.01,-1.0,0.0,-0.24
1018088,2021,0.84,0.1,0.23,0.49,0.49,0.3801,0.5476,561.0,0.0,0.3103,0.9809,0.2271,0.07,0.24,7.0,0.05,0.91,0.38,0.16
1018169,2012,0.76,0.28,0.22,0.48,0.46,0.3854,0.5204,659.0,0.0,0.0063,1.0,0.1155,0.07,0.24,7.0,0.03,0.94,0.2,-0.02
1018055,1991,0.85,0.18,0.18,0.46,0.51,0.2878,0.4915,478.0,0.0732,0.0187,0.8637,0.2444,0.04,0.23,11.0,0.06,0.91,0.13,0.05
1017802,2021,0.85,0.21,0.23,0.48,0.49,0.3856,0.4981,569.0,0.0874,0.509,0.8702,0.3546,0.07,0.24,7.0,0.04,0.94,0.19,-0.05
1017818,2021,0.9,0.4,0.1,0.58,0.48,0.1357,0.5571,190.0,0.18,0.4919,0.6064,0.2395,0.07,0.24,8.0,0.14,0.94,0.3,-0.12
1018542,2003,0.85,0.08,0.22,0.48,0.49,0.43,0.4998,302.0,0.0685,0.076,0.921,0.2855,0.05,0.24,10.0,0.03,0.91,0.17,0.04
1018190,2014,0.94,0.52,0.01,0.42,0.53,0.0,-1.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.23,1.0,0.12,0.94,0.0,-0.24
1016923,2022,0.9,0.66,0.06,0.5,0.49,0.111,0.4909,150.0,0.207,0.5748,0.5825,0.2339,0.08,0.2,7.0,0.04,0.94,0.06,0.06
